"all";"male";"female";"year.ref";"age_min";"age.max";"year"
398095;204560;193535;2012;0;4;2012
385863;197991;187872;2012;5;9;2012
410691;210863;199828;2012;10;14;2012
447894;229475;218419;2012;15;19;2012
491602;249670;241932;2012;20;24;2012
527804;266662;261142;2012;25;29;2012
546818;275365;271453;2012;30;34;2012
553890;277747;276143;2012;35;39;2012
624940;313186;311754;2012;40;44;2012
662507;335852;326655;2012;45;49;2012
582357;294257;288100;2012;50;54;2012
499696;250826;248870;2012;55;59;2012
457353;225701;231652;2012;60;64;2012
411009;199000;212009;2012;65;69;2012
312450;144041;168409;2012;70;74;2012
259407;112530;146877;2012;75;79;2012
197484;76742;120742;2012;80;84;2012
184802;57785;127017;2012;85;NA;2012
404449;208107;196342;2013;0;4;2013
390062;199958;190104;2013;5;9;2013
406092;208624;197468;2013;10;14;2013
442704;226916;215788;2013;15;19;2013
498088;253231;244857;2013;20;24;2013
532258;269140;263118;2013;25;29;2013
559161;281961;277200;2013;30;34;2013
554086;278189;275897;2013;35;39;2013
615491;309069;306422;2013;40;44;2013
667709;338072;329637;2013;45;49;2013
599998;303299;296699;2013;50;54;2013
512120;257714;254406;2013;55;59;2013
458224;225989;232235;2013;60;64;2013
420165;203539;216626;2013;65;69;2013
326356;151509;174847;2013;70;74;2013
261434;114184;147250;2013;75;79;2013
201444;79382;122062;2013;80;84;2013
189219;59641;129578;2013;85;NA;2013
411610;211646;199964;2014;0;4;2014
397741;204230;193511;2014;5;9;2014
402926;206846;196080;2014;10;14;2014
441234;226301;214933;2014;15;19;2014
498961;253574;245387;2014;20;24;2014
543207;274522;268685;2014;25;29;2014
570734;288145;282589;2014;30;34;2014
559571;281336;278235;2014;35;39;2014
605311;304469;300842;2014;40;44;2014
668254;338087;330167;2014;45;49;2014
621473;314108;307365;2014;50;54;2014
527148;266125;261023;2014;55;59;2014
458714;226250;232464;2014;60;64;2014
427426;207158;220268;2014;65;69;2014
341072;159179;181893;2014;70;74;2014
265528;116891;148637;2014;75;79;2014
204553;81364;123189;2014;80;84;2014
194168;61860;132308;2014;85;NA;2014
418295;214938;203357;2015;0;4;2015
404759;208148;196611;2015;5;9;2015
401927;206229;195698;2015;10;14;2015
438771;224978;213793;2015;15;19;2015
498313;253521;244792;2015;20;24;2015
551444;278301;273143;2015;25;29;2015
582448;294606;287842;2015;30;34;2015
566720;285134;281586;2015;35;39;2015
597760;301314;296446;2015;40;44;2015
662100;334355;327745;2015;45;49;2015
642615;325346;317269;2015;50;54;2015
543463;274509;268954;2015;55;59;2015
463486;228800;234686;2015;60;64;2015
430556;208469;222087;2015;65;69;2015
356726;167479;189247;2015;70;74;2015
269582;119304;150278;2015;75;79;2015
208501;84090;124411;2015;80;84;2015
200200;64359;135841;2015;85;NA;2015
423031;217657;205374;2016;0;4;2016
413257;212219;201038;2016;5;9;2016
400504;205372;195132;2016;10;14;2016
438711;225456;213255;2016;15;19;2016
496048;252697;243351;2016;20;24;2016
560587;283314;277273;2016;25;29;2016
589284;297613;291671;2016;30;34;2016
579210;292170;287040;2016;35;39;2016
590167;297391;292776;2016;40;44;2016
654245;329701;324544;2016;45;49;2016
657774;333462;324312;2016;50;54;2016
560277;282913;277364;2016;55;59;2016
468979;231880;237099;2016;60;64;2016
433593;209673;223920;2016;65;69;2016
371249;175474;195775;2016;70;74;2016
273343;121302;152041;2016;75;79;2016
211503;86403;125100;2016;80;84;2016
205364;66774;138590;2016;85;NA;2016
430115;221304;208811;2017;0;4;2017
420456;215898;204558;2017;5;9;2017
404420;207439;196981;2017;10;14;2017
436475;225978;210497;2017;15;19;2017
495535;254086;241449;2017;20;24;2017
568581;288343;280238;2017;25;29;2017
596100;301290;294810;2017;30;34;2017
590339;298142;292197;2017;35;39;2017
584230;294236;289994;2017;40;44;2017
644679;324274;320405;2017;45;49;2017
669041;339192;329849;2017;50;54;2017
575812;290114;285698;2017;55;59;2017
480708;238531;242177;2017;60;64;2017
430368;208092;222276;2017;65;69;2017
384240;182193;202047;2017;70;74;2017
281899;126025;155874;2017;75;79;2017
214971;88581;126390;2017;80;84;2017
211581;69719;141862;2017;85;NA;2017
433743;222893;210850;2018;0;4;2018
426484;219276;207208;2018;5;9;2018
408828;209592;199236;2018;10;14;2018
431439;223310;208129;2018;15;19;2018
488709;251439;237270;2018;20;24;2018
572817;290366;282451;2018;25;29;2018
598895;302605;296290;2018;30;34;2018
600727;303314;297413;2018;35;39;2018
582171;292806;289365;2018;40;44;2018
633596;318687;314909;2018;45;49;2018
673096;340498;332598;2018;50;54;2018
591887;298232;293655;2018;55;59;2018
491373;244430;246943;2018;60;64;2018
429492;207401;222091;2018;65;69;2018
392361;186071;206290;2018;70;74;2018
294176;132535;161641;2018;75;79;2018
217197;90418;126779;2018;80;84;2018
217139;72561;144578;2018;85;NA;2018
